        size,          ops,         time,      op/time
        1024,    156250000,     0.141200,  1.10659e+09
        2048,    156249984,     0.128628,  1.21474e+09
        3072,    156249984,     0.144319,  1.08267e+09
        4096,    156249984,     0.153343,  1.01896e+09
        5120,    156250000,     0.152367,  1.02548e+09
        6144,    156249984,     0.148252,  1.05395e+09
        7168,    156249968,     0.147731,  1.05767e+09
        8192,    156249984,     0.142682,  1.09509e+09
        9216,    156249936,     0.144097,  1.08434e+09
       10240,    156249920,     0.141345,  1.10545e+09
       11264,    156249984,     0.142574,  1.09592e+09
       12288,    156249984,     0.141726,  1.10248e+09
       13312,    156249808,     0.142036,  1.10007e+09
       14336,    156249856,     0.140430,  1.11265e+09
       15360,    156249840,     0.140255,  1.11404e+09
       16384,    156249856,     0.148413,   1.0528e+09
       17408,    156249856,     0.138742,  1.12619e+09
       18432,    156249792,     0.138608,  1.12728e+09
       19456,    156249920,     0.139697,  1.11849e+09
       20480,    156249920,     0.137690,   1.1348e+09
       21504,    156249744,     0.139221,  1.12231e+09
       22528,    156249984,     0.136212,  1.14711e+09
       23552,    156249856,     0.137133,   1.1394e+09
       24576,    156249984,     0.137844,  1.13353e+09
       25600,    156250000,     0.137558,  1.13588e+09
       26624,    156249600,     0.136011,   1.1488e+09
       27648,    156249648,     0.137068,  1.13994e+09
       28672,    156249856,     0.138669,  1.12678e+09
       29696,    156249680,     0.138476,  1.12835e+09
       30720,    156249600,     0.137274,  1.13823e+09
       31744,    156249920,     0.135790,  1.15067e+09
       32768,    156249600,     0.136388,  1.14563e+09
       33792,    156249984,     0.173127,  9.02517e+08
       34816,    156249856,     0.275622,  5.66899e+08
       35840,    156249520,     0.423283,  3.69137e+08
       36864,    156249792,     0.546399,  2.85963e+08
       37888,    156249520,     0.546785,   2.8576e+08
       38912,    156249920,     0.548742,  2.84742e+08
       39936,    156249600,     0.548259,  2.84992e+08
       40960,    156249600,     0.548232,  2.85006e+08
       41984,    156249360,     0.548758,  2.84733e+08
       43008,    156249408,     0.547952,  2.85152e+08
       44032,    156249616,     0.548228,  2.85008e+08
       45056,    156249984,     0.548868,  2.84677e+08
       46080,    156249360,     0.548651,  2.84788e+08
       47104,    156249856,     0.546768,   2.8577e+08
       48128,    156249808,     0.546906,  2.85698e+08
       49152,    156249600,     0.549372,  2.84415e+08
       50176,    156249632,     0.549069,  2.84572e+08
       51200,    156249600,     0.547768,  2.85248e+08
       52224,    156249312,     0.595518,  2.62375e+08
       53248,    156249600,     0.618397,  2.52669e+08
       54272,    156249936,     0.546230,  2.86052e+08
       55296,    156249216,     0.563493,  2.77287e+08
       56320,    156249280,     0.546857,  2.85722e+08
       57344,    156249856,     0.547080,  2.85607e+08
       58368,    156249312,     0.549643,  2.84274e+08
       59392,    156249216,     0.547556,  2.85358e+08
       60416,    156249936,     0.549338,  2.84433e+08
       61440,    156249600,     0.547981,  2.85137e+08
       62464,    156249792,     0.546818,  2.85744e+08
       63488,    156249920,     0.549873,  2.84156e+08
       64512,    156249072,     0.549446,  2.84376e+08
       65536,    156249088,     0.548465,  2.84884e+08
       66560,    156249600,     0.548654,  2.84787e+08
       67584,    156249984,     0.549133,  2.84539e+08
       68608,    156249360,     0.548132,  2.85058e+08
       69632,    156249856,     0.548835,  2.84694e+08
       70656,    156249120,     0.546720,  2.85794e+08
       71680,    156248960,     0.548719,  2.84752e+08
       72704,    156249984,     0.548516,  2.84859e+08
       73728,    156249216,     0.548097,  2.85076e+08
       74752,    156249200,     0.549069,  2.84571e+08
       75776,    156248928,     0.548640,  2.84793e+08
       76800,    156249600,     0.548673,  2.84777e+08
       77824,    156249920,     0.549261,  2.84473e+08
       78848,    156249632,     0.548965,  2.84626e+08
       79872,    156249600,     0.546498,  2.85911e+08
       80896,    156249360,     0.548350,  2.84945e+08
